s3_location,partition_count,fingerprint,timestamp
s3a://flight-bucket/refined/flights_0_t,12,94a031cb5cf8c59fe340380528f21bc22a710967f5c6b6917df1c8e185d05911,1753363701
s3a://flight-bucket/refined/flights_1_t,12,94a031cb5cf8c59fe340380528f21bc22a710967f5c6b6917df1c8e185d05911,1753363701
s3a://flight-bucket/refined/flights_2_t,12,94a031cb5cf8c59fe340380528f21bc22a710967f5c6b6917df1c8e185d05911,1753363701
s3a://flight-bucket/refined/flights_3_t,12,94a031cb5cf8c59fe340380528f21bc22a710967f5c6b6917df1c8e185d05911,1753363701
s3a://flight-bucket/refined/flights_4_t,12,94a031cb5cf8c59fe340380528f21bc22a710967f5c6b6917df1c8e185d05911,1753363701
s3a://flight-bucket/refined/flights_5_t,12,94a031cb5cf8c59fe340380528f21bc22a710967f5c6b6917df1c8e185d05911,1753363702
s3a://flight-bucket/refined/flights_6_t,12,94a031cb5cf8c59fe340380528f21bc22a710967f5c6b6917df1c8e185d05911,1753363702
s3a://flight-bucket/refined/flights_7_t,12,94a031cb5cf8c59fe340380528f21bc22a710967f5c6b6917df1c8e185d05911,1753363702
s3a://flight-bucket/refined/flights_8_t,12,94a031cb5cf8c59fe340380528f21bc22a710967f5c6b6917df1c8e185d05911,1753363702
s3a://flight-bucket/refined/flights_9_t,12,94a031cb5cf8c59fe340380528f21bc22a710967f5c6b6917df1c8e185d05911,1753363702
